call_uid,sound.files,selec,call_type,call_quality,cluster_unsup,p_contact,contact_thresh_pass
NMSU172_250409_0199__455,NMSU172_250409_0199.wav,455,contact-like,high,3,0.9821790896927279,TRUE
NMSU172_250409_0199__456,NMSU172_250409_0199.wav,456,contact-like,high,4,0.9906265228514206,TRUE
NMSU172_250409_0199__457,NMSU172_250409_0199.wav,457,contact-like,high,3,0.9784240082076907,TRUE
NMSU172_250409_0199__458,NMSU172_250409_0199.wav,458,contact-like,high,3,0.978335999328272,TRUE
NMSU172_250409_0199__459,NMSU172_250409_0199.wav,459,contact-like,high,3,0.9492780411032301,TRUE
NMSU172_250409_0199__460,NMSU172_250409_0199.wav,460,contact-like,high,3,0.9516296340994697,TRUE
NMSU172_250409_0199__461,NMSU172_250409_0199.wav,461,contact-like,medium,6,1.2618850842818158e-25,FALSE
NMSU172_250409_0199__462,NMSU172_250409_0199.wav,462,contact-like,high,3,0.9804734320965491,TRUE
NMSU172_250409_0199__463,NMSU172_250409_0199.wav,463,contact-like,medium,3,0.9787020127250093,TRUE
NMSU172_250409_0199__464,NMSU172_250409_0199.wav,464,contact-like,high,3,0.9609075885345925,TRUE
NMSU172_250409_0199__465,NMSU172_250409_0199.wav,465,contact-like,high,3,0.9674926990194012,TRUE
NMSU172_250409_0199__466,NMSU172_250409_0199.wav,466,contact-like,high,3,0.9715489434945842,TRUE
NMSU172_250409_0199__467,NMSU172_250409_0199.wav,467,contact-like,high,3,0.976029497841124,TRUE
NMSU172_250409_0199__468,NMSU172_250409_0199.wav,468,contact-like,high,3,0.9762114235418697,TRUE
NMSU172_250409_0199__469,NMSU172_250409_0199.wav,469,contact-like,medium,3,0.6471663090208266,FALSE
NMSU172_250409_0199__470,NMSU172_250409_0199.wav,470,contact-like,high,3,0.9767614364794408,TRUE
NMSU172_250409_0199__471,NMSU172_250409_0199.wav,471,contact-like,high,3,0.9691611323111501,TRUE
NMSU172_250409_0199__472,NMSU172_250409_0199.wav,472,contact-like,high,3,0.9824570785284441,TRUE
NMSU172_250409_0199__473,NMSU172_250409_0199.wav,473,contact-like,high,3,0.9771615547506923,TRUE
NMSU172_250409_0199__474,NMSU172_250409_0199.wav,474,contact-like,high,3,0.9758508910258944,TRUE
NMSU172_250409_0199__475,NMSU172_250409_0199.wav,475,contact-like,high,3,0.9744990064873336,TRUE
NMSU172_250409_0199__476,NMSU172_250409_0199.wav,476,contact-like,high,3,0.981992541808571,TRUE
NMSU172_250409_0199__477,NMSU172_250409_0199.wav,477,contact-like,high,3,0.9490378831531947,TRUE
NMSU172_250409_0199__478,NMSU172_250409_0199.wav,478,contact-like,high,3,0.9733752805656254,TRUE
NMSU172_250409_0199__479,NMSU172_250409_0199.wav,479,contact-like,high,3,0.9692977882799827,TRUE
NMSU172_250409_0199__480,NMSU172_250409_0199.wav,480,contact-like,high,6,0.4236549349108706,FALSE
NMSU172_250409_0199__481,NMSU172_250409_0199.wav,481,contact-like,medium,6,5.320675718093913e-57,FALSE
NMSU172_250409_0199__482,NMSU172_250409_0199.wav,482,contact-like,high,3,0.6752738759576284,FALSE
NMSU172_250409_0199__483,NMSU172_250409_0199.wav,483,contact-like,high,6,0.0014242724167386437,FALSE
NMSU172_250409_0199__484,NMSU172_250409_0199.wav,484,contact-like,high,3,0.9512088026792513,TRUE
NMSU172_250409_0199__485,NMSU172_250409_0199.wav,485,contact-like,high,6,1.4577402806692886e-6,FALSE
NMSU172_250409_0199__486,NMSU172_250409_0199.wav,486,contact-like,high,6,5.098360355742249e-4,FALSE
NMSU172_250409_0199__487,NMSU172_250409_0199.wav,487,contact-like,high,3,0.9787886834711648,TRUE
NMSU172_250409_0199__488,NMSU172_250409_0199.wav,488,contact-like,high,3,0.9818830309471553,TRUE
NMSU172_250409_0199__489,NMSU172_250409_0199.wav,489,contact-like,high,3,0.9772801148738023,TRUE
NMSU172_250409_0199__490,NMSU172_250409_0199.wav,490,contact-like,high,3,0.9807159251727261,TRUE
NMSU172_250409_0199__491,NMSU172_250409_0199.wav,491,contact-like,high,3,0.9606165198683901,TRUE
NMSU172_250409_0199__492,NMSU172_250409_0199.wav,492,contact-like,high,3,0.9704750481034704,TRUE
NMSU172_250409_0199__493,NMSU172_250409_0199.wav,493,contact-like,high,3,0.9795626581597957,TRUE
NMSU172_250409_0199__494,NMSU172_250409_0199.wav,494,contact-like,high,3,0.9697611566254362,TRUE
NMSU172_250409_0199__495,NMSU172_250409_0199.wav,495,contact-like,high,4,0.989058973430278,TRUE
NMSU172_250409_0199__496,NMSU172_250409_0199.wav,496,contact-like,high,3,0.9814473934148589,TRUE
NMSU172_250409_0199__497,NMSU172_250409_0199.wav,497,contact-like,medium,3,0.8922886929741753,TRUE
NMSU172_250409_0199__498,NMSU172_250409_0199.wav,498,contact-like,medium,3,0.8449620694763106,TRUE
NMSU172_250409_0199__499,NMSU172_250409_0199.wav,499,contact-like,high,3,0.9665777814937319,TRUE
NMSU172_250409_0199__500,NMSU172_250409_0199.wav,500,contact-like,high,3,0.6659623676383052,FALSE
NMSU172_250409_0199__501,NMSU172_250409_0199.wav,501,contact-like,high,2,0.8328451402724968,TRUE
NMSU172_250409_0199__502,NMSU172_250409_0199.wav,502,contact-like,high,6,0.07728002023615553,FALSE
NMSU172_250409_0199__503,NMSU172_250409_0199.wav,503,contact-like,high,2,0.9158867738209724,TRUE
NMSU172_250409_0199__504,NMSU172_250409_0199.wav,504,contact-like,high,3,0.9767920330002349,TRUE
NMSU172_250409_0199__505,NMSU172_250409_0199.wav,505,contact-like,high,3,0.9527583760199566,TRUE
NMSU172_250409_0199__506,NMSU172_250409_0199.wav,506,contact-like,high,3,0.9657380818654825,TRUE
NMSU172_250409_0199__507,NMSU172_250409_0199.wav,507,contact-like,high,3,0.9827854636572004,TRUE
NOBAND_250404_0170__3,NOBAND_250404_0170.wav,3,non-contact,medium,1,1.3260365594024889e-43,FALSE
NOBAND_250404_0170__4,NOBAND_250404_0170.wav,4,non-contact,medium,1,1.9921465527279696e-72,FALSE
NOBAND_250404_0170__5,NOBAND_250404_0170.wav,5,non-contact,medium,1,4.646621246235295e-65,FALSE
NOBAND_250404_0170__6,NOBAND_250404_0170.wav,6,non-contact,high,1,1.3923185670398393e-63,FALSE
NOBAND_250404_0170__9,NOBAND_250404_0170.wav,9,non-contact,high,1,7.932319583756861e-78,FALSE
NOBAND_250404_0170__10,NOBAND_250404_0170.wav,10,contact-like,high,1,0.00363203749193622,FALSE
NOBAND_250404_0170__11,NOBAND_250404_0170.wav,11,non-contact,high,1,6.84607353513458e-16,FALSE
NOBAND_250404_0170__12,NOBAND_250404_0170.wav,12,contact-like,high,2,0.8082451042452541,TRUE
NOBAND_250404_0170__13,NOBAND_250404_0170.wav,13,contact-like,high,2,0.9350524090739116,TRUE
NOBAND_250404_0170__14,NOBAND_250404_0170.wav,14,contact-like,high,6,0.4150240537499116,FALSE
NOBAND_250404_0170__15,NOBAND_250404_0170.wav,15,contact-like,high,3,0.928509539803295,TRUE
NOBAND_250404_0170__16,NOBAND_250404_0170.wav,16,non-contact,medium,4,0.9992661693322021,TRUE
NOBAND_250404_0170__17,NOBAND_250404_0170.wav,17,non-contact,medium,3,0.9550321598830167,TRUE
NOBAND_250404_0170__18,NOBAND_250404_0170.wav,18,non-contact,medium,2,0.8358309064412596,TRUE
NOBAND_250404_0170__19,NOBAND_250404_0170.wav,19,non-contact,medium,3,0.9852545008123534,TRUE
