call_uid,sound.files,cluster,call_type,p_contact,contact_thresh_pass,PC1,PC2,TSNE1,TSNE2,UMAP1,UMAP2
A150_250406_0178__19,A150_250406_0178.wav,3,contact-like,0.9235243166580477,TRUE,1.1129700875861952,0.4423279339116787,4.895814694344087,-10.769275798329392,-2.8582274591945627,0.9301848390130906
A150_250406_0178__20,A150_250406_0178.wav,2,contact-like,0.8745541884658005,TRUE,0.9599981807852671,0.9175999796066383,7.623171758523579,-8.441605633835312,-2.3167602694057443,1.4522825458078295
A150_250406_0178__21,A150_250406_0178.wav,2,contact-like,0.8778686205866925,TRUE,0.7848307340710852,2.2839161433230286,15.37339993991134,-3.8826067482924707,-1.1926883137248971,3.0292316653757005
A150_250406_0178__22,A150_250406_0178.wav,2,contact-like,0.9240852247973909,TRUE,1.2651982028439837,2.3721828578298974,17.11922952150679,-7.560314595409591,-1.8315281546138742,3.504067538025847
A150_250406_0178__23,A150_250406_0178.wav,2,contact-like,0.9353971061181591,TRUE,1.498621967524055,2.6414518263614584,18.530356473826924,-7.936090192688388,-1.907647815945051,3.7289649226694017
A150_250406_0178__24,A150_250406_0178.wav,2,contact-like,0.8206156674008163,TRUE,0.700994073623112,1.3562480344756005,9.837346392399164,-6.391319195916825,-1.8627099669002511,1.9369045474557787
A150_250406_0178__25,A150_250406_0178.wav,2,contact-like,0.9348753068162445,TRUE,2.221946097872716,3.254869697737754,21.81850121340421,-8.23305613621458,-1.9293250715755441,4.358079073670378
A150_250406_0178__26,A150_250406_0178.wav,2,contact-like,0.9369938347465682,TRUE,1.9129432994531401,2.7398866986820325,19.83576938133613,-8.694118902221222,-2.0646528875850656,4.090520975831023
A150_250406_0178__27,A150_250406_0178.wav,2,contact-like,0.8331061672908171,TRUE,0.6024564680405878,1.5053186654268573,10.16670811754619,-6.3983659028489335,-1.8669296181224802,2.006327984574309
A150_250406_0178__28,A150_250406_0178.wav,2,contact-like,0.9140728191208953,TRUE,1.466142831667197,2.623381765367804,18.220932318173578,-6.831975234130626,-1.5786871588253,3.6194950320749193
A150_250406_0178__29,A150_250406_0178.wav,4,contact-like,0.9882089541691346,TRUE,2.1899236828711413,-0.5375869659814124,-1.468224694609844,-25.437054480080054,-5.761745420696638,-0.40593423908663706
A150_250406_0178__30,A150_250406_0178.wav,6,contact-like,0.022272350818985803,FALSE,1.342656844846931,5.4951554235177955,28.65464754034865,-0.7362958467519621,-0.0580631619714715,5.15763389849948
A150_250406_0178__31,A150_250406_0178.wav,3,contact-like,0.9848797996848443,TRUE,1.2664149748615188,-0.5256462888204833,-6.746022277796448,-15.898040304512895,-4.091288534405134,-1.231745483634004
A150_250406_0178__32,A150_250406_0178.wav,3,contact-like,0.9630288665795249,TRUE,0.9770699972293361,-1.7836286004208866,-15.545567987754952,-19.20951386525226,-4.807115522625349,-2.9113484642477125
A150_250406_0178__33,A150_250406_0178.wav,4,contact-like,0.9937779323386237,TRUE,2.173276856127043,-0.2537626100003352,0.9327014210352764,-25.45129230601294,-5.8807210600399,0.23909711623477026
A150_250406_0178__34,A150_250406_0178.wav,2,contact-like,0.8561417228470415,TRUE,0.4846613027448248,3.067549930796146,18.930947688724412,-3.2194225796662783,-0.7049422538303354,3.7476645686654955
A150_250406_0178__35,A150_250406_0178.wav,2,contact-like,0.753208502041294,FALSE,1.270983589639761,2.523591322062957,16.93069823050856,-2.3344729492538385,-0.8511007106327035,3.372682211640349
A150_250406_0178__36,A150_250406_0178.wav,5,non-contact,7.209460634901298e-5,FALSE,0.9105185654851292,-1.0497879157433099,-10.152088237000285,8.496065786316159,1.6133267009235404,-1.8314665577383131
A150_250406_0178__37,A150_250406_0178.wav,2,contact-like,0.936649973199813,TRUE,2.5043848788986014,0.9822896310532381,10.01002425846103,-18.738423520073564,-4.320122686626814,1.9259403922586351
A150_250406_0178__38,A150_250406_0178.wav,2,contact-like,0.968962023905332,TRUE,3.714452747134661,1.205156109965185,9.51256073865278,-24.03008134099028,-4.981003729107282,2.0333582141427904
A150_250406_0178__39,A150_250406_0178.wav,4,contact-like,0.9735657335871527,TRUE,2.801556749735796,-0.7111525660622277,-2.1622862166762595,-27.45573117104254,-6.138902632000349,-0.5492935947151275
A150_250406_0178__40,A150_250406_0178.wav,2,contact-like,0.9557245092975637,TRUE,2.3148555000175848,1.1648026016363233,10.08178071900182,-18.36219733766007,-4.281020132305525,2.0082706191568285
A150_250406_0178__41,A150_250406_0178.wav,2,contact-like,0.7408891104757565,FALSE,1.9398504256615208,3.9297072977590126,24.02780430337329,-7.562947831849695,-1.4749537384532907,4.672361014130583
A150_250406_0178__42,A150_250406_0178.wav,2,contact-like,0.9612465318138436,TRUE,2.225798521487171,1.1965070354492209,10.006743044048038,-18.220103630414002,-4.275110689403913,1.9907439925699144
A150_250406_0178__43,A150_250406_0178.wav,2,contact-like,0.9031593081325903,TRUE,1.434894457509226,3.902241258375782,23.317748799600313,-2.8347052457994493,-0.8104402697109201,4.51688682818698
A150_250406_0178__44,A150_250406_0178.wav,2,contact-like,0.9110721890047556,TRUE,1.361100395289737,3.7099718007182108,22.658118214812117,-2.834989230002893,-0.841955391170881,4.407760260346404
A150_250406_0178__45,A150_250406_0178.wav,2,contact-like,0.9380324441693683,TRUE,1.7652754439887002,2.0482018118205487,14.00935504512951,-15.15941699318325,-3.7172875082515695,2.829236624482146
